"Показник","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","Період","Значення cпостереження","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження"
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","2016","25830","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","2017","29485","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","2018","34919","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","2019","34192","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","2020","34585","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Проміжне споживання у сільському господарстві (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Проміжне споживання, продукція захисту рослин, гербіциди, інсектициди, пестициди","Річна","2021","62632","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші зернові культури","Річна","2014","3121","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші зернові культури","Річна","2015","5544","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші зернові культури","Річна","2016","12630","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші зернові культури","Річна","2017","17379","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
